naziv,sjediste,stanovnistvo,brojgradova,brojopcina,brojnaselja,povrsina,zupan,wikipoveznica,gdppercapita,nazivgrada,stanovnistvograd
Virovitičko-podravska županija,Virovitica,84836,3,13,188,2024,Igor Andrović,Virovitičko-podravska_županija,7641,Orahovica,5304
Virovitičko-podravska županija,Virovitica,84836,3,13,188,2024,Igor Andrović,Virovitičko-podravska_županija,7641,Slatina,13686
Virovitičko-podravska županija,Virovitica,84836,3,13,188,2024,Igor Andrović,Virovitičko-podravska_županija,7641,Virovitica,21291
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Ivanić Grad,14548
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Samobor,37728
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Velika Gorica,63514
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Dugo Selo,17466
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Jastrebarsko,16689
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Sveta Nedelja,18059
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Sveti Ivan Zelina,15959
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Vrbovec,14797
Zagrebačka županija,Grad Zagreb,317606,9,25,694,3060,Stjepan Kožić,Zagrebačka_županija,10358,Zaprešić,25223
Karlovačka županija,Karlovac,128899,5,17,649,3622,Damir Jelić,Karlovačka_županija,10158,Karlovac,55705
Karlovačka županija,Karlovac,128899,5,17,649,3622,Damir Jelić,Karlovačka_županija,10158,Duga resa,10583
Karlovačka županija,Karlovac,128899,5,17,649,3622,Damir Jelić,Karlovačka_županija,10158,Ogulin,13915
Karlovačka županija,Karlovac,128899,5,17,649,3622,Damir Jelić,Karlovačka_županija,10158,Slunj,5076
Karlovačka županija,Karlovac,128899,5,17,649,3622,Damir Jelić,Karlovačka_županija,10158,Ozalj,7932
